Player,Pos,Team,GP,G,A,P,proj_G,proj_A,proj_P
Nikita Kucherov,R,TBL,78,37,84,121,38.9,88.3,127.2
Leon Draisaitl,C,EDM,71,52,54,106,60.1,62.4,122.4
Connor McDavid,C,EDM,67,26,74,100,31.8,90.6,122.4
Nathan MacKinnon,C,COL,79,32,84,116,33.2,87.2,120.4
David Pastrnak,R,BOS,82,43,63,106,43,63,106
Mitch Marner,R,TOR,81,27,75,102,27.3,75.9,103.3
Jack Eichel,C,VGK,77,28,66,94,29.8,70.3,100.1
Kyle Connor,L,WPG,82,41,56,97,41,56,97
Auston Matthews,C,TOR,67,33,45,78,40.4,55.1,95.5
Robert Thomas,C,STL,70,21,60,81,24.6,70.3,94.9
Cale Makar,D,COL,80,30,62,92,30.8,63.6,94.3
Sidney Crosby,C,PIT,80,33,58,91,33.8,59.4,93.3
Jack Hughes,C,NJD,62,27,43,70,35.7,56.9,92.6
Alex Ovechkin,L,WSH,65,44,29,73,55.5,36.6,92.1
Quinn Hughes,D,VAN,68,16,60,76,19.3,72.4,91.6
Artemi Panarin,L,NYR,80,37,52,89,37.9,53.3,91.2
Clayton Keller,R,UTA,81,30,60,90,30.4,60.7,91.1
Brandon Hagel,L,TBL,82,35,55,90,35,55,90
Matthew Tkachuk,L,FLA,52,22,35,57,34.7,55.2,89.9
Jesper Bratt,L,NJD,81,21,67,88,21.3,67.8,89.1
Nick Suzuki,C,MTL,82,30,59,89,30,59,89
Mikko Rantanen,R,"COL,CAR,DAL",82,32,56,88,32,56,88
Brayden Point,C,TBL,77,42,40,82,44.7,42.6,87.3
Mark Scheifele,C,WPG,82,39,48,87,39,48,87
Aleksander Barkov,C,FLA,67,20,51,71,24.5,62.4,86.9
Sean Monahan,C,CBJ,54,19,38,57,28.9,57.7,86.6
Martin Necas,C,"CAR,COL",79,27,56,83,28,58.1,86.2
Sam Reinhart,C,FLA,79,39,42,81,40.5,43.6,84.1
William Nylander,R,TOR,82,45,39,84,45,39,84
Mark Stone,R,VGK,66,19,48,67,23.6,59.6,83.2
Zach Werenski,D,CBJ,81,23,59,82,23.3,59.7,83
Matt Duchene,C,DAL,82,30,52,82,30,52,82
Dylan Strome,C,WSH,82,29,53,82,29,53,82
Jake Guentzel,C,TBL,80,41,39,80,42,40,82
John Tavares,C,TOR,75,38,36,74,41.5,39.4,80.9
Jason Robertson,L,DAL,82,35,45,80,35,45,80
Lucas Raymond,L,DET,82,27,53,80,27,53,80
J.T. Miller,C,"VAN,NYR",72,22,48,70,25.1,54.7,79.7
Tim Stützle,C,OTT,82,24,55,79,24,55,79
Tage Thompson,C,BUF,76,44,28,72,47.5,30.2,77.7
Kirill Marchenko,R,CBJ,79,31,43,74,32.2,44.6,76.8
Sebastian Aho,C,CAR,79,29,45,74,30.1,46.7,76.8
Rasmus Dahlin,D,BUF,73,17,51,68,19.1,57.3,76.4
Filip Forsberg,L,NSH,82,31,45,76,31,45,76
Travis Konecny,R,PHI,82,24,52,76,24,52,76
Nico Hischier,C,NJD,75,35,34,69,38.3,37.2,75.4
Seth Jarvis,C,CAR,73,32,35,67,35.9,39.3,75.3
Bryan Rust,R,PIT,71,31,34,65,35.8,39.3,75.1
Nikolaj Ehlers,L,WPG,69,24,39,63,28.5,46.3,74.9
Adrian Kempe,R,LAK,81,35,38,73,35.4,38.5,73.9
Macklin Celebrini,C,SJS,70,25,38,63,29.3,44.5,73.8
Matt Boldy,L,MIN,82,27,46,73,27,46,73
JJ Peterka,R,BUF,77,27,41,68,28.8,43.7,72.4
Roope Hintz,C,DAL,76,28,39,67,30.2,42.1,72.3
Aliaksei Protas,C,WSH,76,30,36,66,32.4,38.8,71.2
Logan Cooley,C,UTA,75,25,40,65,27.3,43.7,71.1
Wyatt Johnston,C,DAL,82,33,38,71,33,38,71
Rickard Rakell,R,PIT,81,35,35,70,35.4,35.4,70.9
Gabriel Vilardi,C,WPG,71,27,34,61,31.2,39.3,70.5
Dylan Guenther,R,UTA,70,27,33,60,31.6,38.7,70.3
Alex DeBrincat,R,DET,82,39,31,70,39,31,70
Cole Caufield,R,MTL,82,37,33,70,37,33,70
Jordan Kyrou,R,STL,82,36,34,70,36,34,70
Dylan Larkin,C,DET,82,30,40,70,30,40,70
Shea Theodore,D,VGK,67,7,50,57,8.6,61.2,69.8
Kent Johnson,C,CBJ,68,24,33,57,28.9,39.8,68.7
Victor Hedman,D,TBL,79,15,51,66,15.6,52.9,68.5
Tomas Hertl,C,VGK,73,32,29,61,35.9,32.6,68.5
Drake Batherson,R,OTT,82,26,42,68,26,42,68
Anze Kopitar,C,LAK,81,21,46,67,21.3,46.6,67.8
Adam Fox,D,NYR,74,10,51,61,11.1,56.5,67.6
Patrick Kane,R,DET,72,21,38,59,23.9,43.3,67.2
Dylan Holloway,L,STL,77,26,37,63,27.7,39.4,67.1
Alex Tuch,R,BUF,82,36,31,67,36,31,67
Nazem Kadri,C,CGY,82,35,32,67,35,32,67
Connor Bedard,C,CHI,82,23,44,67,23,44,67
Evan Bouchard,D,EDM,82,14,53,67,14,53,67
Pierre-Luc Dubois,L,WSH,82,20,46,66,20,46,66
Lane Hutson,D,MTL,82,6,60,66,6,60,66
Tom Wilson,R,WSH,81,33,32,65,33.4,32.4,65.8
Mikael Granlund,C,"SJS,DAL",83,22,44,66,21.7,43.5,65.2
Matvei Michkov,R,PHI,80,26,37,63,26.7,37.9,64.6
Ryan Donato,C,CHI,80,31,31,62,31.8,31.8,63.6
Josh Morrissey,D,WPG,80,14,48,62,14.3,49.2,63.6
Nick Schmaltz,C,UTA,82,20,43,63,20,43,63
Jonathan Huberdeau,L,CGY,81,28,34,62,28.3,34.4,62.8
Mika Zibanejad,C,NYR,82,20,42,62,20,42,62
